series,event,circuit_canonical,car_class,season,total_laps,non_green_or_pit,missing_tyre_age,field_wide_trimmed,per_car_trimmed,insufficient_car_laps,kept,pct_kept
wec,COTA,COTA,HYPERCAR,2024,2983,149,0,55,283,0,2496,83.7
wec,COTA,COTA,HYPERCAR,2025,2010,731,0,249,112,0,918,45.7
wec,Fuji,Fuji,HYPERCAR,2022,1136,34,0,0,112,0,990,87.1
wec,Fuji,Fuji,HYPERCAR,2023,2661,109,0,12,256,0,2284,85.8
wec,Fuji,Fuji,HYPERCAR,2024,3588,393,0,133,315,0,2747,76.6
wec,Fuji,Fuji,HYPERCAR,2025,3408,500,0,172,282,0,2454,72.0
wec,Imola,Imola,HYPERCAR,2024,3769,351,0,787,272,0,2359,62.6
wec,Imola,Imola,HYPERCAR,2025,3805,292,0,99,345,0,3069,80.7
wec,Imola,Imola,HYPERCAR,2026,3586,226,0,105,336,0,2919,81.4
wec,Interlagos,Interlagos,HYPERCAR,2024,4374,178,0,32,428,0,3736,85.4
wec,Interlagos,Interlagos,HYPERCAR,2025,4263,169,0,14,413,0,3667,86.0
wec,Le Mans,Le Mans,HYPERCAR,2022,1867,175,0,142,157,0,1393,74.6
wec,Le Mans,Le Mans,HYPERCAR,2025,7710,834,0,148,682,0,6046,78.4
wec,Le Mans,Le Mans,HYPERCAR,2026,6338,806,0,51,552,0,4929,77.8
wec,Losail,Losail,HYPERCAR,2025,5544,517,0,196,487,0,4344,78.4
wec,Monza,Monza,HYPERCAR,2022,891,116,0,21,77,0,677,76.0
wec,Portimao,Portimao,HYPERCAR,2023,2337,109,0,0,226,0,2002,85.7
wec,Sebring,Sebring,HYPERCAR,2022,691,47,0,2,65,0,577,83.5
wec,Sebring,Sebring,HYPERCAR,2023,2281,237,0,58,203,0,1783,78.2
wec,Spa,Spa,HYPERCAR,2022,337,96,0,41,21,0,179,53.1
wec,Spa,Spa,HYPERCAR,2023,1603,270,0,110,125,0,1098,68.5
wec,Spa,Spa,HYPERCAR,2024,2361,395,0,113,195,0,1658,70.2
wec,Spa,Spa,HYPERCAR,2025,2463,307,0,130,213,19,1794,72.8
wec,Spa,Spa,HYPERCAR,2026,2406,267,0,127,210,0,1802,74.9
