compound_races,compound_race_concentration,circuit,compound,degree,cv_rmse_s,fuel_slope_s_per_lap,fuel_slope_se,fuel_slope_classical_se,fuel_slope_ci_low,fuel_slope_ci_high,n_laps,n_stints,n_clusters,deg_p1,deg_p1_se,deg_p1_classical_se,deg_p1_ci_low,deg_p1_ci_high,deg_p2,deg_p2_se,deg_p2_classical_se,deg_p2_ci_low,deg_p2_ci_high
4,0.3269230769230769,red_bull_ring,MEDIUM,1,0.45494627690105105,-0.03141795892244659,0.0010458914396368115,0.0004740711895168178,-0.03350148151219959,-0.02933443633269359,4054,206,76,0.05840511995427278,0.0025577492666373305,0.0013699235355568893,0.0533098221308069,0.06350041777773865,,,,,
2,0.8571428571428571,red_bull_ring,SOFT,1,0.45494627690105105,-0.03141795892244659,0.0010458914396368115,0.0004740711895168178,-0.03350148151219959,-0.02933443633269359,4054,206,76,0.04608932653498199,0.0163047969021956,0.008129338463420545,0.01360850550554906,0.07857014756441491,,,,,
1,1.0,ricard,HARD,1,,-0.06602643547982723,0.0075735829772295305,0.0024111244917696555,-0.08187812682922593,-0.05017474413042852,775,43,20,0.06723032483589009,0.012711240704473326,0.004150768911490465,0.0406253922800534,0.09383525739172677,,,,,
1,1.0,ricard,MEDIUM,1,,-0.06602643547982723,0.0075735829772295305,0.0024111244917696555,-0.08187812682922593,-0.05017474413042852,775,43,20,0.049748642415593736,0.00800778554480319,0.004607858285120173,0.03298815464777752,0.06650913018340995,,,,,
2,0.5,shanghai,HARD,2,0.654199600146553,-0.0738845121856695,0.0029362658181577017,0.001445507459203297,-0.07982867157164215,-0.06794035279969683,1675,98,39,0.1088956560723755,0.013770955244197976,0.005692326033044144,0.08101781464452819,0.1367734975002228,-0.0013575679938071517,0.0002810561681034742,0.0001265822655108109,-0.0019265364602472862,-0.0007885995273670171
2,0.5681818181818182,shanghai,MEDIUM,2,0.654199600146553,-0.0738845121856695,0.0029362658181577017,0.001445507459203297,-0.07982867157164215,-0.06794035279969683,1675,98,39,0.13502704523813192,0.025062992763852755,0.009787790166111377,0.08428966895682048,0.18576442151944333,-0.0017048465780922228,0.001176812172692392,0.00045697831006864657,-0.004087178272511266,0.0006774851163268204
1,1.0,shanghai,SOFT,2,0.654199600146553,-0.0738845121856695,0.0029362658181577017,0.001445507459203297,-0.07982867157164215,-0.06794035279969683,1675,98,39,0.1047737422699685,0.060060379033790495,0.02920427822355246,-0.01681213852837779,0.22635962306831478,-0.0006868200820751846,0.003853467185509591,0.0020660504595858306,-0.008487756563247083,0.007114116399096713
4,0.42857142857142855,silverstone,HARD,1,1.1022534525224106,-0.0625003803306825,0.002721526341240964,0.0018619735000449814,-0.06792829346631633,-0.05707246719504867,2155,136,71,0.044261411267310535,0.010979975408346214,0.006885231777081967,0.02236254082656986,0.06616028170805122,,,,,
4,0.3333333333333333,silverstone,MEDIUM,1,1.1022534525224106,-0.0625003803306825,0.002721526341240964,0.0018619735000449814,-0.06792829346631633,-0.05707246719504867,2155,136,71,0.052343456483572304,0.009905578209913666,0.003496219249006739,0.032587403688168495,0.07209950927897611,,,,,
4,0.3695652173913043,silverstone,SOFT,1,1.1022534525224106,-0.0625003803306825,0.002721526341240964,0.0018619735000449814,-0.06792829346631633,-0.05707246719504867,2155,136,71,0.054622290940868456,0.012834354099800337,0.006526853732533658,0.02902497881861399,0.08021960306312292,,,,,
